week,week_start_date,product,region,transaction_volume,revenue,new_customers,return_customers,return_rate_pct,conversion_rate_pct,satisfaction_score
2023-W01,2023-01-02,Personal Current Account,North,4949,314503.68,1650,3068,62.0,18.84,4.0
2023-W01,2023-01-02,Personal Current Account,South,5117,212349.88,1113,3172,62.0,18.78,4.05
2023-W01,2023-01-02,Personal Current Account,East,4903,278132.79,1485,3039,62.0,15.62,3.57
2023-W01,2023-01-02,Personal Current Account,West,4718,317777.91,1400,2925,62.0,36.03,4.24
2023-W01,2023-01-02,Personal Current Account,Scotland,5514,403441.77,1795,3418,62.0,18.13,4.07
2023-W01,2023-01-02,Personal Current Account,Wales,5098,222505.24,1731,3160,62.0,35.51,4.39
2023-W01,2023-01-02,Savings Account,North,2854,223407.44,448,1357,47.58,37.51,4.21
2023-W01,2023-01-02,Savings Account,South,2866,200354.56,780,1540,53.75,14.1,4.36
2023-W01,2023-01-02,Savings Account,East,3027,264348.01,617,1325,43.79,13.09,4.19
2023-W01,2023-01-02,Savings Account,West,2859,186922.03,800,883,30.89,23.22,4.31
2023-W01,2023-01-02,Savings Account,Scotland,3375,278409.4,1161,1268,37.59,12.56,3.8
2023-W01,2023-01-02,Savings Account,Wales,2938,231163.79,917,922,31.38,25.89,4.17
2023-W01,2023-01-02,Mortgage,North,837,62019.24,249,431,51.51,26.36,3.93
2023-W01,2023-01-02,Mortgage,South,664,51980.63,191,207,31.3,23.17,4.51
2023-W01,2023-01-02,Mortgage,East,836,39198.8,198,340,40.67,35.33,3.58
2023-W01,2023-01-02,Mortgage,West,770,44956.78,145,420,54.56,23.35,4.57
2023-W01,2023-01-02,Mortgage,Scotland,869,44841.85,232,273,31.45,17.91,4.38
2023-W01,2023-01-02,Mortgage,Wales,791,66773.66,244,385,48.69,26.77,4.12
2023-W01,2023-01-02,Credit Card,North,4464,181885.36,1312,2445,54.77,33.13,4.44
2023-W01,2023-01-02,Credit Card,South,4263,197529.49,793,1360,31.92,13.14,3.86
2023-W01,2023-01-02,Credit Card,East,4772,347212.86,948,1848,38.74,19.6,4.09
2023-W01,2023-01-02,Credit Card,West,4872,311491.65,850,2199,45.15,14.0,3.9
2023-W01,2023-01-02,Credit Card,Scotland,4485,301312.66,1116,1626,36.25,31.12,3.82
2023-W01,2023-01-02,Credit Card,Wales,4501,385983.45,873,1751,38.92,30.54,3.66
2023-W01,2023-01-02,Business Loan,North,582,45984.06,121,311,53.54,28.99,3.67
2023-W01,2023-01-02,Business Loan,South,624,33307.1,180,269,43.17,25.09,4.31
2023-W01,2023-01-02,Business Loan,East,537,45656.42,156,168,31.35,28.17,4.5
2023-W01,2023-01-02,Business Loan,West,689,34572.47,122,254,36.99,37.37,4.11
2023-W01,2023-01-02,Business Loan,Scotland,576,44406.97,110,205,35.76,21.68,4.95
2023-W01,2023-01-02,Business Loan,Wales,552,25998.13,190,278,50.41,30.16,4.11
2023-W02,2023-01-09,Personal Current Account,North,5053,366319.28,1216,3134,62.03,14.97,4.5
2023-W02,2023-01-09,Personal Current Account,South,5107,331676.03,800,3167,62.03,19.23,3.95
2023-W02,2023-01-09,Personal Current Account,East,4714,279110.44,1486,2924,62.03,14.2,4.0
2023-W02,2023-01-09,Personal Current Account,West,4697,253424.87,1277,2913,62.03,24.88,4.11
2023-W02,2023-01-09,Personal Current Account,Scotland,4830,401559.63,1096,2996,62.03,13.15,3.65
2023-W02,2023-01-09,Personal Current Account,Wales,5376,270340.26,1004,3334,62.03,23.21,3.95
2023-W02,2023-01-09,Savings Account,North,2771,153118.27,715,868,31.34,21.04,4.05
2023-W02,2023-01-09,Savings Account,South,3012,212156.14,989,924,30.68,35.99,3.58
2023-W02,2023-01-09,Savings Account,East,3059,246286.77,820,1612,52.72,31.69,3.79
2023-W02,2023-01-09,Savings Account,West,3307,269394.74,783,1274,38.55,23.12,4.26
2023-W02,2023-01-09,Savings Account,Scotland,2928,224784.68,472,1413,48.26,14.84,3.88
2023-W02,2023-01-09,Savings Account,Wales,2981,226749.32,851,1184,39.73,34.32,4.28
2023-W02,2023-01-09,Mortgage,North,798,50413.75,211,426,53.48,26.78,4.03
2023-W02,2023-01-09,Mortgage,South,802,38598.21,181,344,43.0,31.39,3.92
2023-W02,2023-01-09,Mortgage,East,783,36482.82,119,416,53.15,32.79,3.47
2023-W02,2023-01-09,Mortgage,West,846,37458.21,169,455,53.8,26.11,4.19
2023-W02,2023-01-09,Mortgage,Scotland,762,45514.31,208,293,38.47,21.4,4.67
