month,region,product,channel,revenue,transactions,avg_ticket,ad_spend
2023-01,North,Personal Current Account,Branch,168816.8,2391,46.0,11690.91
2023-01,North,Personal Current Account,Mobile App,147284.9,2731,74.46,14340.98
2023-01,North,Personal Current Account,Online,187691.84,2326,48.48,14927.98
2023-01,North,Personal Current Account,Telephone,129398.44,2801,53.75,11047.38
2023-01,North,Savings Account,Branch,109318.43,2373,52.95,10439.03
2023-01,North,Savings Account,Mobile App,97811.29,1464,53.82,8925.14
2023-01,North,Savings Account,Online,129672.54,1675,45.26,13798.11
2023-01,North,Savings Account,Telephone,83808.07,1149,58.61,5102.53
2023-01,North,Mortgage,Branch,315815.8,3791,58.46,17841.13
2023-01,North,Mortgage,Mobile App,294229.86,6020,78.9,27145.89
2023-01,North,Mortgage,Online,349145.75,4517,74.19,30562.81
2023-01,North,Mortgage,Telephone,232741.9,2773,60.14,20630.9
2023-01,North,Credit Card,Branch,83565.03,1068,69.74,9218.85
2023-01,North,Credit Card,Mobile App,68384.71,1004,73.18,3638.59
2023-01,North,Credit Card,Online,85164.46,1573,56.58,4733.9
2023-01,North,Credit Card,Telephone,59612.38,1097,49.04,4140.57
2023-01,North,Business Loan,Branch,238232.89,3382,59.59,18084.89
2023-01,North,Business Loan,Mobile App,224948.48,4214,55.68,25996.36
2023-01,North,Business Loan,Online,264460.51,3728,69.37,16391.18
2023-01,North,Business Loan,Telephone,172616.65,2327,51.54,13215.86
2023-01,South,Personal Current Account,Branch,199127.54,2354,70.6,17719.66
2023-01,South,Personal Current Account,Mobile App,166780.07,2304,78.71,17398.5
2023-01,South,Personal Current Account,Online,208461.56,3848,46.28,15026.27
2023-01,South,Personal Current Account,Telephone,130701.2,2346,53.44,15161.82
2023-01,South,Savings Account,Branch,122669.38,1532,57.59,11761.63
2023-01,South,Savings Account,Mobile App,112697.82,1852,81.58,9254.7
2023-01,South,Savings Account,Online,132218.89,2378,54.87,11806.59
2023-01,South,Savings Account,Telephone,93788.58,1689,68.38,10583.82
2023-01,South,Mortgage,Branch,356962.66,5854,53.77,42773.99
2023-01,South,Mortgage,Mobile App,323431.73,4946,48.64,17238.31
2023-01,South,Mortgage,Online,394520.4,7988,70.1,41600.42
2023-01,South,Mortgage,Telephone,289467.56,4677,47.54,22206.03
2023-01,South,Credit Card,Branch,93999.22,1107,66.16,11089.6
2023-01,South,Credit Card,Mobile App,80589.75,1014,45.46,8095.28
2023-01,South,Credit Card,Online,107370.14,1485,66.48,7373.94
2023-01,South,Credit Card,Telephone,65915.82,933,49.46,5301.84
2023-01,South,Business Loan,Branch,284507.23,4505,83.15,31668.42
2023-01,South,Business Loan,Mobile App,232661.25,4189,65.02,14542.64
2023-01,South,Business Loan,Online,295282.21,3622,79.82,20932.89
2023-01,South,Business Loan,Telephone,209537.1,2969,69.36,12718.64
2023-01,East,Personal Current Account,Branch,147178.73,1949,66.58,15380.74
2023-01,East,Personal Current Account,Mobile App,128784.77,1944,45.02,9361.48
2023-01,East,Personal Current Account,Online,157273.08,3435,82.16,17537.6
2023-01,East,Personal Current Account,Telephone,104067.32,1329,57.3,5625.33
2023-01,East,Savings Account,Branch,89667.64,1119,82.88,5021.01
2023-01,East,Savings Account,Mobile App,82816.7,1285,47.77,8550.17
2023-01,East,Savings Account,Online,103395.13,1367,50.14,8609.69
2023-01,East,Savings Account,Telephone,73193.41,1092,55.6,8129.61
2023-01,East,Mortgage,Branch,281790.62,4550,53.47,24727.33
2023-01,East,Mortgage,Mobile App,231170.57,3115,53.05,16602.7
2023-01,East,Mortgage,Online,311212.73,3669,71.0,25104.6
2023-01,East,Mortgage,Telephone,201665.1,3069,49.84,13255.21
2023-01,East,Credit Card,Branch,69542.6,1188,68.53,4597.32
2023-01,East,Credit Card,Mobile App,65518.77,1217,47.84,6170.37
2023-01,East,Credit Card,Online,82260.04,1518,81.22,9062.96
2023-01,East,Credit Card,Telephone,54629.95,1142,54.52,5289.73
2023-01,East,Business Loan,Branch,207235.73,3868,50.29,23932.82
2023-01,East,Business Loan,Mobile App,189488.96,2793,63.91,19881.82
2023-01,East,Business Loan,Online,240146.46,3106,52.62,13636.75
2023-01,East,Business Loan,Telephone,164169.6,2637,61.94,13575.47
2023-01,West,Personal Current Account,Branch,132836.18,1791,71.93,15793.1
2023-01,West,Personal Current Account,Mobile App,120276.1,2457,61.1,8870.5
2023-01,West,Personal Current Account,Online,143063.8,1800,54.95,9058.03
2023-01,West,Personal Current Account,Telephone,95017.13,1509,61.88,6603.52
2023-01,West,Savings Account,Branch,93222.45,1695,81.93,7552.8
2023-01,West,Savings Account,Mobile App,85166.5,1071,67.01,4559.92
2023-01,West,Savings Account,Online,99504.56,1171,78.44,11724.6
2023-01,West,Savings Account,Telephone,69198.52,843,78.95,4265.52
2023-01,West,Mortgage,Branch,267149.33,4146,53.55,20857.1
2023-01,West,Mortgage,Mobile App,229539.88,4848,60.16,27308.73
2023-01,West,Mortgage,Online,295267.51,5309,76.36,24167.82
2023-01,West,Mortgage,Telephone,205977.62,3326,83.29,24651.32
2023-01,West,Credit Card,Branch,67618.96,1005,73.74,4113.65
2023-01,West,Credit Card,Mobile App,64379.95,1132,83.75,5829.13
2023-01,West,Credit Card,Online,67001.11,1004,74.92,3618.17
2023-01,West,Credit Card,Telephone,51536.39,753,65.11,5653.05
2023-01,West,Business Loan,Branch,203855.34,3973,83.43,11335.95
2023-01,West,Business Loan,Mobile App,179590.05,3425,68.8,17467.8
2023-01,West,Business Loan,Online,225356.13,4141,49.8,25312.03
2023-01,West,Business Loan,Telephone,137787.39,2512,68.78,12863.38
2023-01,Scotland,Personal Current Account,Branch,126784.09,2052,68.35,10978.84
2023-01,Scotland,Personal Current Account,Mobile App,116078.78,1408,53.17,11623.37
2023-01,Scotland,Personal Current Account,Online,149729.31,2744,60.83,14526.49
2023-01,Scotland,Personal Current Account,Telephone,92294.16,1619,57.65,9472.2
2023-01,Scotland,Savings Account,Branch,82514.33,1722,63.33,9892.79
2023-01,Scotland,Savings Account,Mobile App,74764.72,881,47.93,4853.79
2023-01,Scotland,Savings Account,Online,97698.99,1756,82.33,10909.12
2023-01,Scotland,Savings Account,Telephone,63658.24,794,59.78,3885.84
2023-01,Scotland,Mortgage,Branch,243439.73,3107,73.14,22595.45
2023-01,Scotland,Mortgage,Mobile App,227098.7,2687,71.16,11479.3
2023-01,Scotland,Mortgage,Online,275957.43,3552,56.98,26612.56
2023-01,Scotland,Mortgage,Telephone,190360.56,2305,50.37,11056.14
2023-01,Scotland,Credit Card,Branch,62158.04,1261,67.13,4292.91
2023-01,Scotland,Credit Card,Mobile App,56472.02,816,73.7,3628.43
2023-01,Scotland,Credit Card,Online,69577.34,988,55.56,5858.22
2023-01,Scotland,Credit Card,Telephone,44365.33,546,78.84,2504.91
2023-01,Scotland,Business Loan,Branch,194134.57,3134,56.07,9754.91
2023-01,Scotland,Business Loan,Mobile App,173458.57,2287,70.48,11853.62
2023-01,Scotland,Business Loan,Online,212101.37,2841,67.07,16954.98
2023-01,Scotland,Business Loan,Telephone,140045.44,3085,48.01,15659.52
2023-01,Wales,Personal Current Account,Branch,106470.45,1311,66.82,11543.7
2023-01,Wales,Personal Current Account,Mobile App,99280.93,1453,50.92,5849.75
2023-01,Wales,Personal Current Account,Online,123029.99,2145,80.96,13007.78
2023-01,Wales,Personal Current Account,Telephone,80491.3,1013,80.96,5208.22
2023-01,Wales,Savings Account,Branch,74754.59,1359,49.11,7819.94
2023-01,Wales,Savings Account,Mobile App,68408.03,851,61.26,6392.48
2023-01,Wales,Savings Account,Online,89434.21,1747,82.2,9884.48
2023-01,Wales,Savings Account,Telephone,55827.14,664,77.43,6235.84
2023-01,Wales,Mortgage,Branch,221710.78,4820,74.46,16240.98
2023-01,Wales,Mortgage,Mobile App,195765.3,2380,77.09,21629.03
2023-01,Wales,Mortgage,Online,223934.08,2892,55.67,23539.1
2023-01,Wales,Mortgage,Telephone,161528.51,3274,79.89,17784.54
2023-01,Wales,Credit Card,Branch,56565.95,1049,77.66,4650.92
2023-01,Wales,Credit Card,Mobile App,55464.76,969,76.81,3656.89
2023-01,Wales,Credit Card,Online,61890.1,1347,52.73,4516.64
2023-01,Wales,Credit Card,Telephone,42081.53,528,83.68,2926.3
2023-01,Wales,Business Loan,Branch,169054.95,2392,60.99,20063.52
2023-01,Wales,Business Loan,Mobile App,144389.21,2172,82.57,8385.25
2023-01,Wales,Business Loan,Online,195663.34,2334,52.14,22966.45
2023-01,Wales,Business Loan,Telephone,128491.85,2310,49.34,10333.25
2023-01,North,Personal Current Account,Branch,170765.52,2303,57.55,15784.65
2023-01,North,Personal Current Account,Mobile App,143556.15,2193,60.41,12971.9
2023-01,North,Personal Current Account,Online,193217.76,3501,73.35,9683.76
2023-01,North,Personal Current Account,Telephone,115128.76,1403,66.54,11554.33
2023-01,North,Savings Account,Branch,112942.43,1512,71.83,8526.65
2023-01,North,Savings Account,Mobile App,108018.76,2259,71.57,7897.68
2023-01,North,Savings Account,Online,117135.45,2035,78.92,11758.38
2023-01,North,Savings Account,Telephone,79470.13,1393,57.37,6245.36
2023-01,North,Mortgage,Branch,323142.95,5289,56.83,19036.4
2023-01,North,Mortgage,Mobile App,283840.25,4591,82.61,27649.52
2023-01,North,Mortgage,Online,333674.68,4113,69.62,23713.09
2023-01,North,Mortgage,Telephone,237810.42,3553,45.02,16666.7
2023-01,North,Credit Card,Branch,79247.18,1274,68.2,7594.21
2023-01,North,Credit Card,Mobile App,75898.67,1193,62.69,4930.31
2023-01,North,Credit Card,Online,88111.79,1378,81.05,9315.33
2023-01,North,Credit Card,Telephone,64764.85,1250,48.39,5575.06
2023-01,North,Business Loan,Branch,240512.98,3420,58.41,25804.55
2023-01,North,Business Loan,Mobile App,220584.05,2939,71.91,14497.85
2023-01,North,Business Loan,Online,283358.08,5349,45.98,19024.37
2023-01,North,Business Loan,Telephone,173944.44,2717,78.99,9583.99
2023-01,South,Personal Current Account,Branch,189811.41,3082,70.19,12073.99
2023-01,South,Personal Current Account,Mobile App,178141.45,2445,64.78,11949.53
2023-01,South,Personal Current Account,Online,194532.17,2730,45.22,19952.68
2023-01,South,Personal Current Account,Telephone,139623.61,1841,49.26,11136.41
2023-01,South,Savings Account,Branch,126703.57,2434,83.32,10929.08
2023-01,South,Savings Account,Mobile App,116389.46,2475,54.97,12731.09
2023-01,South,Savings Account,Online,131742.35,2082,77.06,12743.5
2023-01,South,Savings Account,Telephone,87519.59,1035,68.82,10196.27
2023-01,South,Mortgage,Branch,373386.01,4629,69.51,37468.98
2023-01,South,Mortgage,Mobile App,333085.4,5109,78.22,29428.44
